subplot,plot,year,dens_m2,cv_hgt,mean_hgt,sp_richness,shannon_sp,evenness_sp,effective_numbers,dens_ha,CWM_shade,CWM_drought,clear_intensity,grndwrk_intensity,logging_trail_intensity,planting_intensity,anti_browsing_intensity,spruce_share,IV,IVmax_species,year_f,cv_hgt_pos,cv_hgt_present,active_regeneration,region,country,country_name,IV_coniferous,IV_deciduous,x,y,plot_id,disturbance_year,disturbance_severity,elevation,slope,aspect,dist_to_edge
129_T1_JC_20250717,15_133,2025,1.25,0.53138417929546,1.98,3,1.33217904021012,1.21260161928934,3.789291416276,12500,3.508,1.934,1,0.4,0,0.8,1,0.5,0.623232323232323,piab,2025,0.53138417929546,1,0.9,15,13,Czech Republic,0.874747474747475,0.125252525252525,4721922.61034199,2896570.72115746,15_133,2018,0.99997740983963,568.725646972656,2.35469890847102,270,95
12_17_101_1,17_101,2023,2.75,0.584186817916278,0.518181818181818,2,0.655481773901393,0.94566030460064,1.92607022425223,27500,4.18454545454545,2.56545454545455,0,0,0,0,0,0,0.502392344497608,cabe,2023,0.584186817916278,1,0,17,12,Poland,0,1,5199841.18748616,3034276.46167589,17_101,2020,0.828116953372955,403.411041259766,3.50767636299133,90,30
12_17_101_2,17_101,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5199861.53368141,3034277.22427826,17_101,2020,0.733310163021088,403.411041259766,3.50767636299133,90,30
12_17_101_3,17_101,2023,0.25,0,3,1,0,0,1,2500,4.56,2.4,0,0,0,0,0,0,1,fasy,2023,1e-04,0,0,17,12,Poland,0,1,5199845.49011797,3034257.09904603,17_101,2020,0.828116953372955,403.411041259766,3.50767636299133,90,30
12_17_101_4,17_101,2023,0.25,0,3,1,0,0,1,2500,4.56,2.4,0,0,0,0,0,0,1,fasy,2023,1e-04,0,0,17,12,Poland,0,1,5199822.78331654,3034275.23745347,17_101,2020,0.749804317951202,407.0888671875,3.50767636299133,90,60
12_17_101_5,17_101,2023,1,0,0.9,1,0,0,1,10000,3.97,2.66,0,0,0,0,0,0,1,cabe,2023,1e-04,0,0,17,12,Poland,0,1,5199841.95372569,3034297.08647182,17_101,2020,0.733310163021088,403.411041259766,3.50767636299133,90,30
12_17_102_1,17_102,2023,3.25,0.888393406071874,0.876923076923077,3,0.687092027379972,0.625418115623811,1.98792628462815,32500,3.87615384615385,2.68923076923077,0,0,0,0,0,0,0.60391363022942,acps,2023,0.888393406071874,1,0,17,12,Poland,0,1,5200061.87677541,3034276.86216164,17_102,2020,0.736902952194214,392.610534667969,1.2722218874358e-14,90,60
12_17_102_2,17_102,2023,2.5,1.95046303809817e-16,0.3,2,0.325082973391448,0.468995593589281,1.38414548846169,25000,3.754,2.741,0,0,0,0,0,0,0.9,acps,2023,1.95046303809817e-16,1,0,17,12,Poland,0,1,5200062.12167671,3034296.76846723,17_102,2020,0.736902952194214,392.610534667969,1.2722218874358e-14,90,60
12_17_102_3,17_102,2023,1.25,1.695083789395,1.24,2,0.500402423538188,0.721928094887362,1.64938488846612,12500,3.896,2.68,0,0,0,0,0,0,0.503225806451613,fasy,2023,1.695083789395,1,0,17,12,Poland,0,1,5200081.7152772,3034277.01433751,17_102,2020,0.145163044333458,392.610534667969,1.2722218874358e-14,90,30
12_17_102_4,17_102,2023,2.5,0,0.5,1,0,0,1,25000,3.73,2.75,0,0,0,0,0,0,1,acps,2023,1e-04,0,0,17,12,Poland,0,1,5200061.8451906,3034256.6618805,17_102,2020,0.591461658477783,392.610534667969,1.2722218874358e-14,90,60
12_17_102_5,17_102,2023,0.5,1.01015254455221,1.75,1,0.693147180559945,0,2,5000,4.56,2.4,0,0,0,0,0,0,1,fasy,2023,1.01015254455221,1,0,17,12,Poland,0,1,5200041.6337377,3034277.08473518,17_102,2020,0.425963491201401,392.610534667969,5.34825611114502,90,67
12_17_103_5,17_103,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0.2,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5194398.70324606,3002278.2014203,17_103,2019,0.316277772188187,490.262390136719,0,90,30
12_17_103_1,17_103,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0.2,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5194421.25240104,3002277.09696846,17_103,2020,0.23482283949852,490.262390136719,9.25861740112305,90,42
12_17_103_2,17_103,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0.2,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5194421.85043721,3002296.4322601,17_103,2020,0.23482283949852,490.262390136719,9.25861740112305,90,42
12_17_103_3,17_103,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0.2,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5194422.15482983,3002256.76058855,17_103,2020,0.266284912824631,490.262390136719,11.0428400039673,111.863662719727,30
12_17_103_4,17_103,2023,0.25,0,0.3,1,0,0,1,2500,4.6,1.81,0,0,0.2,0,0,0,1,absp,2023,1e-04,0,0,17,12,Poland,1,0,5194443.04618377,3002275.07201229,17_103,2020,0.202410340309143,480.481506347656,9.25861740112305,90,42
12_17_104_1,17_104,2023,1,0,0.5,1,0,0,1,10000,4.6,1.81,1,1,0,0.8,1,0,1,absp,2023,1e-04,0,0.9,17,12,Poland,1,0,5194200.44910848,3002556.68246591,17_104,2019,0.542895913124085,468.564239501953,14.066686630249,299.455413818359,30
12_17_104_2,17_104,2023,1.25,0,0.5,3,0.950270539233235,0.864973520717927,2.58640928985893,12500,3.128,2.186,1,1,0,0.8,1,0,0.6,saca,2023,1e-04,0,0.9,17,12,Poland,0.2,0.8,5194219.18189815,3002556.6669419,17_104,2019,0.542895913124085,468.564239501953,14.066686630249,299.455413818359,30
12_17_104_3,17_104,2023,0.25,0,0.5,1,0,0,1,2500,4.6,1.81,1,1,0,0.8,1,0,1,absp,2023,1e-04,0,0.9,17,12,Poland,1,0,5194182.51450141,3002556.88554389,17_104,2019,0.697006165981293,468.564239501953,8.27734088897705,8.90555329675392e-14,30
12_17_104_4,17_104,2023,1.25,0.194440693695634,0.46,2,0.500402423538188,0.721928094887362,1.64938488846612,12500,2.648,2.154,1,1,0,0.8,1,0,0.834782608695652,saca,2023,0.194440693695634,1,0.9,17,12,Poland,0.165217391304348,0.834782608695652,5194201.26840466,3002575.83021401,17_104,2019,0.419794738292694,468.564239501953,13.5196981430054,270,30
12_17_104_5,17_104,2023,1,0,0.5,1,0,0,1,10000,4.6,1.81,1,1,0,0.8,1,0,1,absp,2023,1e-04,0,0.9,17,12,Poland,1,0,5194201.89835132,3002536.67852335,17_104,2019,0.34282311797142,477.293060302734,12.0198001861572,305.358734130859,30
12_17_105_1,17_105,2023,0.5,0,0.3,1,0,0,1,5000,3.73,2.75,0.6,0.6,0.4,0,0,0,1,acps,2023,1e-04,0,0,17,12,Poland,0,1,5200681.42060798,2995757.30445921,17_105,2020,0.998033285140991,626.925415039063,2.54444377487161e-14,270,42
12_17_105_2,17_105,2023,1.75,0.525484654664595,1.3,2,0.598269588585257,0.863120568566631,1.81896851165317,17500,4.32285714285714,2.5,0.6,0.6,0.4,0,0,0,0.824175824175824,fasy,2023,0.525484654664595,1,0,17,12,Poland,0,1,5200664.2205373,2995753.60650689,17_105,2020,0.670507431030273,626.925415039063,2.14042639732361,180,30
12_17_105_3,17_105,2023,0,0,0,0,0,0,1e-04,0,,,0.6,0.6,0.4,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5200701.08406689,2995756.90658844,17_105,2020,0.998033285140991,626.925415039063,2.54444377487161e-14,270,42
12_17_105_4,17_105,2023,0,0,0,0,0,0,1e-04,0,,,0.6,0.6,0.4,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5200681.77632284,2995736.50492106,17_105,2020,0.999385178089142,626.925415039063,2.14042639732361,180,42
12_17_105_5,17_105,2023,0.25,0,0.3,1,0,0,1,2500,1.46,2.31,0.6,0.6,0.4,0,0,0,1,lade,2023,1e-04,0,0,17,12,Poland,1,0,5200681.81869371,2995776.67299035,17_105,2020,0.998033285140991,626.925415039063,2.54444377487161e-14,270,42
12_17_106_1,17_106,2023,4.75,0.841592455077433,0.594736842105263,3,1.01326902624973,0.922317214818483,2.75459114328283,47500,2.43473684210526,1.94315789473684,1,1,0,1,1,0,0.35631113181183,besp,2023,0.841592455077433,1,1,17,12,Poland,0,1,5201061.25665536,2995917.1105317,17_106,2018,0.845611214637756,580.996032714844,12.768557548523,9.21970653533936,42
12_17_106_2,17_106,2023,1.5,0.263791203068958,1.08333333333333,3,1.01140426470735,0.920619835714305,2.74945927399721,15000,3.09,2.23,1,1,0,1,1,0,0.526923076923077,fasy,2023,0.263791203068958,1,1,17,12,Poland,0.351282051282051,0.648717948717949,5201080.29526229,2995914.44730716,17_106,2018,0.639743447303772,580.996032714844,14.264105796814,2.92611041733531e-13,30
12_17_106_3,17_106,2023,0.75,0.173205080756888,1,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,3.68666666666667,2.12,1,1,0,1,1,0,0.633333333333333,fasy,2023,0.173205080756888,1,1,17,12,Poland,0,1,5201061.81305814,2995896.73720854,17_106,2018,0.94589751958847,580.996032714844,0.330526500940323,90,30
12_17_106_4,17_106,2023,1.5,0.463416978364385,0.616666666666667,3,1.01140426470735,0.920619835714305,2.74945927399721,15000,2.48666666666667,2.04,1,1,0,1,1,0,0.452702702702703,saca,2023,0.463416978364385,1,1,17,12,Poland,0,1,5201061.81322686,2995935.91184622,17_106,2018,0.845611214637756,580.996032714844,12.768557548523,9.21970653533936,42
12_17_106_5,17_106,2023,2,0.268116687979404,1.3875,3,0.974314752869349,0.886859507142915,2.6493511285621,20000,3.3325,2.235,1,1,0,1,1,0,0.556306306306306,fasy,2023,0.268116687979404,1,1,17,12,Poland,0,1,5201041.42192806,2995916.26459646,17_106,2018,0.845611214637756,580.996032714844,12.768557548523,9.21970653533936,42
12_17_108_1,17_108,2023,0,0,0,0,0,0,1e-04,0,,,1,1,0,0.2,0,,,absp,2023,1e-04,0,0.1,17,12,Poland,0,0,5216543.13284297,2986957.21963414,17_108,2019,0.893858075141907,595.617309570313,18.3546810150147,106.218734741211,60
12_17_108_2,17_108,2023,1.75,0,1.2,1,0,0,1,17500,4.6,1.81,1,1,0,0.2,0,0,1,absp,2023,1e-04,0,0.1,17,12,Poland,1,0,5216541.58433194,2986976.03379013,17_108,2019,0.362254858016968,595.617309570313,17.9605541229248,90,60
12_17_108_3,17_108,2023,5,0,1.7,4,1.27985422583367,0.923219672335508,3.59611546662432,50000,2.079,2.918,1,1,0,0.2,0,0,0.4,pisy,2023,1e-04,0,0.1,17,12,Poland,0.4,0.6,5216523.25209142,2986957.77253123,17_108,2019,0.893858075141907,595.617309570313,18.3546810150147,106.218734741211,60
12_17_108_4,17_108,2023,5.75,0.284073856400521,1.1304347826087,5,0.920832669355434,0.572145506354312,2.51138066928289,57500,2.28304347826087,2.36304347826087,1,1,0,0.2,0,0,0.761872909698997,saca,2023,0.284073856400521,1,0.1,17,12,Poland,0.0902173913043478,0.909782608695652,5216562.27550029,2986956.41816608,17_108,2019,0.820988535881043,595.617309570313,4.97687101364136,180,42
12_17_108_5,17_108,2023,3.25,0.655717122216766,0.623076923076923,4,1.26585675187274,0.913122629201305,3.54612958817451,32500,2.79230769230769,2.79769230769231,1,1,0,0.2,0,0,0.45014245014245,absp,2023,0.655717122216766,1,0.1,17,12,Poland,0.735042735042735,0.264957264957265,5216541.8888397,2986936.67419584,17_108,2019,0.958227217197418,590.392395019531,17.8000965118408,106.775512695312,42
12_17_109_1,17_109,2023,10.75,0.554446099223041,0.946511627906977,5,1.34127968745586,0.83338392683152,3.82393381580061,107500,2.10720930232558,2.48232558139535,1,1,0,0,0,0,0.422661562196446,besp,2023,0.554446099223041,1,0,17,12,Poland,0.234786583623793,0.765213416376207,5216662.52348582,2987137.62595232,17_109,2019,0.860597610473633,579.3447265625,18.0978240966797,99.4106597900391,60
12_17_109_2,17_109,2023,0,0,0,0,0,0,1e-04,0,,,1,1,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5216643.3359998,2987138.8541271,17_109,2019,0.860597610473633,579.3447265625,18.0978240966797,99.4106597900391,60
12_17_109_3,17_109,2023,0.25,0,1.7,1,0,0,1,2500,4.6,1.81,1,1,0,0,0,0,1,absp,2023,1e-04,0,0,17,12,Poland,1,0,5216681.77704934,2987137.36423769,17_109,2019,0.717201292514801,579.3447265625,4.31784152984619,180,60
12_17_109_4,17_109,2023,1.5,0,1.7,1,0,0,1,15000,1.94,1.56,1,1,0,0,0,0,1,besp,2023,1e-04,0,0,17,12,Poland,0,1,5216660.08770532,2987157.32568973,17_109,2019,0.526362240314484,579.3447265625,16.7172622680664,90,42
12_17_109_5,17_109,2023,0.5,1.15708382375981,1.65,2,0.693147180559945,1,2,5000,4.165,2.28,1,1,0,0,0,0,0.704545454545455,absp,2023,1.15708382375981,1,0,17,12,Poland,0.704545454545455,0.295454545454545,5216663.47954863,2987116.45872694,17_109,2019,0.825366675853729,574.814514160156,20.3255958557129,98.2943649291992,60
12_17_110_1,17_110,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218781.91792314,2990696.8094745,17_110,2020,0.99333518743515,523.793762207031,11.4823274612427,1.27222193825778e-13,90
12_17_110_2,17_110,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218761.93368398,2990696.969639,17_110,2020,0.970322966575623,523.793762207031,11.7715759277344,348.943695068359,85
12_17_110_3,17_110,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218781.68759194,2990716.77483466,17_110,2020,0.99333518743515,523.793762207031,11.4823274612427,1.27222193825778e-13,90
12_17_110_4,17_110,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218801.76052056,2990696.72617033,17_110,2020,0.980725646018982,523.793762207031,10.7708749771118,5.40933418273926,67
12_17_110_5,17_110,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218781.68037404,2990676.60936178,17_110,2020,0.986373603343964,523.793762207031,2.54444377487161e-14,270,60
12_17_111_1,17_111,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218541.60332702,2995916.21016246,17_111,2020,0.718413352966309,478.623443603516,11.7964639663696,279.430969238281,60
12_17_111_2,17_111,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218541.78044953,2995896.88991698,17_111,2020,0.746167898178101,478.623443603516,10.5619039535522,270,42
12_17_111_3,17_111,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218541.80304074,2995936.8002731,17_111,2020,0.718413352966309,478.623443603516,11.7964639663696,279.430969238281,60
12_17_111_4,17_111,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218521.81770043,2995916.84751837,17_111,2020,0.690237522125244,467.43603515625,12.3359823226929,289.598358154297,60
12_17_111_5,17_111,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0,0,0,,,absp,2023,1e-04,0,0,17,12,Poland,0,0,5218561.92401076,2995917.04461105,17_111,2020,0.771863758563995,478.623443603516,0.839583277702332,360,60
12_17_112_1,17_112,2023,1,0,0.3,2,0.693147180559945,1,2,10000,4.145,2.575,1,1,0,0,0,0,0.5,acps,2023,1e-04,0,0,17,12,Poland,0,1,5215101.61583627,3000257.69285576,17_112,2020,0.685764014720917,364.30615234375,2.54444377487161e-14,270,60
