subplot,plot,year,dens_m2,cv_hgt,mean_hgt,sp_richness,shannon_sp,evenness_sp,effective_numbers,dens_ha,pre_dist_trees_n,area_m2,pre_dist_dens_ha,time_snc_full_disturbance,disturbance_year,forest_year,disturbance_length,CWM_shade,CWM_drought,clear_intensity,grndwrk_intensity,logging_trail_intensity,planting_intensity,anti_browsing_intensity,spruce_share,IV,IVmax_species,year_f,cv_hgt_pos,cv_hgt_present,active_regeneration,region,country,country_name,IV_coniferous,IV_deciduous,x,y,plot_id,slope,aspect
314_T3_JL_20250717,118,2025,0.5,0,0.7,1,0,0,1,5000,26,1179.55149563681,220.422763195796,5,2020,2019,1,2.59,2.985,0.6,0,0.4,0.6,0.2,0,1,qusp,2025,1e-04,0,0.4,,13,Czech Republic,0,1,4734886.05589921,2979746.31277021,118,4.13264631347885,294.029672917998
315_T3_JL_20250717,118,2025,1.5,0.539547593960313,3.35,1,0.693147180559945,0,2,15000,26,1179.55149563681,220.422763195796,5,2020,2019,1,4.45,1.75,0.6,0,0.4,0.6,0.2,1,1,piab,2025,0.539547593960313,1,0.4,,13,Czech Republic,1,0,4734906.55825685,2979727.6617376,118,4.13264631347885,294.029672917998
316_T3_JL_20250717,118,2025,0,0,0,0,0,0,1e-04,0,26,1179.55149563681,220.422763195796,5,2020,2019,1,,,0.6,0,0.4,0.6,0.2,,,"",2025,1e-04,0,0.4,,13,Czech Republic,0,0,4734885.72181822,2979706.16479936,118,3.59925793153223,231.186954938157
201_T2_AH_20250827,12,2025,0.75,0.58925565098879,1.2,3,1.09861228866811,1,3,7500,51,1120.66048348931,455.088769090934,5,2020,2019,1,2.24166666666667,1.96666666666667,1,0,0,0.8,1,0,0.520833333333333,sasp,2025,0.58925565098879,1,0.9,,13,Czech Republic,0,1,4743085.94938953,2960327.15263869,12,1.67485928989029,72.8118909033596
202_T2_AH_20250827,12,2025,1,0.329914439536929,0.7,2,0.693147180559945,1,2,10000,51,1120.66048348931,455.088769090934,5,2020,2019,1,3.25,1.98,1,0,0,0.8,1,0,0.571428571428571,fasy,2025,0.329914439536929,1,0.9,,13,Czech Republic,0,1,4743086.22233562,2960346.34424242,12,1.67485928989029,72.8118909033596
401_T4_TP_20250827,12,2025,0.5,0.353553390593274,0.4,2,0.693147180559945,1,2,5000,51,1120.66048348931,455.088769090934,5,2020,2019,1,2.3925,2.17,1,0,0,0.8,1,0,0.5625,algl,2025,0.353553390593274,1,0.9,,13,Czech Republic,0,1,4743066.17723773,2960326.02407,12,1.67485928989029,72.8118909033596
402_T4_TP_20250827,12,2025,0.25,0,0.5,1,0,0,1,2500,51,1120.66048348931,455.088769090934,5,2020,2019,1,2.71,2.22,1,0,0,0.8,1,0,1,algl,2025,1e-04,0,0.9,,13,Czech Republic,0,1,4743105.91935942,2960326.27136136,12,1.67485928989029,72.8118909033596
403_T4_TP_20250827,12,2025,0.75,1.94248565072931e-16,0.7,1,0,0,1,7500,51,1120.66048348931,455.088769090934,5,2020,2019,1,4.45,1.75,1,0,0,0.8,1,1,1,piab,2025,1.94248565072931e-16,1,0.9,,13,Czech Republic,1,0,4743087.69700034,2960308.039352,12,3.0463882987384,98.3223935162771
337_T3_JL_20250717,121,2025,0.5,0,1.2,1,0,0,1,5000,48,1221.34592581698,393.009048340601,5,2020,2018,2,2.16,2.24,1,0,0,0.4,0,0,1,saca,2025,1e-04,0,0.2,,13,Czech Republic,0,1,4740926.74630415,2940806.78043152,121,4.148790529851,92.6494617362449
338_T3_JL_20250717,121,2025,0.75,1.94248565072931e-16,0.7,1,0,0,1,7500,48,1221.34592581698,393.009048340601,5,2020,2018,2,2.16,2.24,1,0,0,0.4,0,0,1,saca,2025,1.94248565072931e-16,1,0.2,,13,Czech Republic,0,1,4740906.08266602,2940803.93182393,121,3.41596477009665,91.9439773653795
339_T3_JL_20250717,121,2025,0.75,0.726596810541568,0.966666666666667,3,1.09861228866811,1,3,7500,48,1221.34592581698,393.009048340601,5,2020,2018,2,2.85,1.85,1,0,0,0.4,0,0.333333333333333,0.459770114942529,piab,2025,0.726596810541568,1,0.2,,13,Czech Republic,0.459770114942529,0.540229885057471,4740885.55213285,2940806.06852979,121,3.41596477009665,91.9439773653795
340_T3_JL_20250717,121,2025,1.25,0.232318750909069,1.54,2,0.500402423538188,0.721928094887362,1.64938488846612,12500,48,1221.34592581698,393.009048340601,5,2020,2018,2,3.948,1.712,1,0,0,0.4,0,0.5,0.841558441558442,piab,2025,0.232318750909069,1,0.2,,13,Czech Republic,0.841558441558442,0.158441558441558,4740906.48833202,2940786.04350688,121,3.41596477009665,91.9439773653795
341_T3_JL_20250717,121,2025,6,0.267982241974005,1.65416666666667,3,0.882383053074815,0.803179667819448,2.41665185949652,60000,48,1221.34592581698,393.009048340601,5,2020,2018,2,3.85916666666667,1.81583333333333,1,0,0,0.4,0,0.5,0.77676322418136,piab,2025,0.267982241974005,1,0.2,,13,Czech Republic,0.77676322418136,0.22323677581864,4740906.03993318,2940827.04895713,121,2.93667079658662,77.2963329135134
406_T4_TP_20250827,122,2025,0.5,0.58925565098879,1.2,2,0.693147180559945,1,2,5000,31,1169.73477842018,265.017340442488,5,2020,2019,1,1.805,2.95,1,0,0,0,0.2,0,0.604166666666667,besp,2025,0.58925565098879,1,0.1,,13,Czech Republic,0.395833333333333,0.604166666666667,4737286.08304254,2984326.18828252,122,1.48095821809767,135.615021222802
407_T4_TP_20250827,122,2025,0.75,1.94248565072931e-16,0.7,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,31,1169.73477842018,265.017340442488,5,2020,2019,1,1.85,2.48666666666667,1,0,0,0,0.2,0,0.666666666666667,besp,2025,1.94248565072931e-16,1,0.1,,13,Czech Republic,0.333333333333333,0.666666666666667,4737286.10038514,2984346.44434021,122,1.48095821809767,135.615021222802
408_T4_TP_20250827,122,2025,0.5,0,0.3,1,0,0,1,5000,31,1169.73477842018,265.017340442488,5,2020,2019,1,1.94,1.56,1,0,0,0,0.2,0,1,besp,2025,1e-04,0,0.1,,13,Czech Republic,0,1,4737306.07040659,2984326.34427779,122,1.48095821809767,135.615021222802
409_T4_TP_20250827,122,2025,1,0.319385255296389,2.35,2,1.03972077083992,1.5,2.82842712474619,10000,31,1169.73477842018,265.017340442488,5,2020,2019,1,3.8225,1.7025,1,0,0,0,0.2,0.666666666666667,0.715425531914894,piab,2025,0.319385255296389,1,0.1,,13,Czech Republic,0.715425531914894,0.284574468085106,4737286.04607665,2984306.34700813,122,0.874038356396094,106.003724493934
410_T4_TP_20250827,122,2025,0.75,0,1.7,1,0,0,1,7500,31,1169.73477842018,265.017340442488,5,2020,2019,1,4.45,1.75,1,0,0,0,0.2,1,1,piab,2025,1e-04,0,0.1,,13,Czech Republic,1,0,4737266.06553938,2984326.39331063,122,1.48095821809767,135.615021222802
411_T4_TP_20250827,123,2025,0.75,0,0.3,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,35,1168.41995840345,299.54983007843,5,2020,2019,1,3.52333333333333,2.61333333333333,1,0,0,1,0.8,0.5,0.666666666666667,piab,2025,1e-04,0,0.9,,13,Czech Republic,1,0,4737386.06130796,2984526.33199048,123,7.10301905727552,35.6499198050321
412_T4_TP_20250827,123,2025,0.5,0.58925565098879,1.2,2,0.693147180559945,1,2,5000,35,1168.41995840345,299.54983007843,5,2020,2019,1,1.805,2.95,1,0,0,1,0.8,0,0.604166666666667,besp,2025,0.58925565098879,1,0.9,,13,Czech Republic,0.395833333333333,0.604166666666667,4737386.04649395,2984546.39863594,123,7.10301905727552,35.6499198050321
413_T4_TP_20250827,123,2025,1.5,0,0.3,2,1.01140426470735,1.45914791702725,2.74945927399721,15000,35,1168.41995840345,299.54983007843,5,2020,2019,1,3.98666666666667,2.18166666666667,1,0,0,1,0.8,0.666666666666667,0.833333333333333,piab,2025,1e-04,0,0.9,,13,Czech Republic,1,0,4737405.97560747,2984526.31765923,123,7.10301905727552,35.6499198050321
414_T4_TP_20250827,123,2025,0.75,0.577350269189626,0.9,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,35,1168.41995840345,299.54983007843,5,2020,2019,1,2.59666666666667,3.47666666666667,1,0,0,1,0.8,0.5,0.777777777777778,pisy,2025,0.577350269189626,1,0.9,,13,Czech Republic,1,0,4737386.00862734,2984506.41532234,123,4.03297233898096,39.0166307076056
415_T4_TP_20250827,123,2025,1,0.692820323027551,0.75,2,0.693147180559945,1,2,10000,35,1168.41995840345,299.54983007843,5,2020,2019,1,1.805,2.95,1,0,0,1,0.8,0,0.65,pisy,2025,0.692820323027551,1,0.9,,13,Czech Republic,0.65,0.35,4737365.91099766,2984526.3968714,123,7.10301905727552,35.6499198050321
416_T4_TP_20250827,124,2025,1.5,0.268143294613684,0.733333333333333,3,1.01140426470735,0.920619835714305,2.74945927399721,15000,32,830.409590073745,385.352004390487,5,2020,2019,1,2.42833333333333,1.78833333333333,0.8,0,0,0.8,0.8,0,0.556818181818182,besp,2025,0.268143294613684,1,0.8,,13,Czech Republic,0.162878787878788,0.837121212121212,4737786.10532467,2984286.33401885,124,4.09718461283518,259.350812121894
417_T4_TP_20250827,124,2025,0.5,0.77138921583987,1.1,2,0.693147180559945,1,2,5000,32,830.409590073745,385.352004390487,5,2020,2019,1,3.27,1.685,0.8,0,0,0.8,0.8,0,0.636363636363636,besp,2025,0.77138921583987,1,0.8,,13,Czech Republic,0.363636363636364,0.636363636363636,4737786.75910794,2984305.77929651,124,4.09718461283518,259.350812121894
418_T4_TP_20250827,124,2025,1,0.824786098842323,1.75,3,1.03972077083992,0.946394630357186,2.82842712474619,10000,32,830.409590073745,385.352004390487,5,2020,2019,1,2.63875,1.7625,0.8,0,0,0.8,0.8,0,0.678571428571429,besp,2025,0.824786098842323,1,0.8,,13,Czech Republic,0.160714285714286,0.839285714285714,4737770.74200808,2984286.60150349,124,4.09718461283518,259.350812121894
419_T4_TP_20250827,124,2025,1,0.199086299720561,1.45,2,0.693147180559945,1,2,10000,32,830.409590073745,385.352004390487,5,2020,2019,1,3.195,1.655,0.8,0,0,0.8,0.8,0.5,0.543103448275862,besp,2025,0.199086299720561,1,0.8,,13,Czech Republic,0.456896551724138,0.543103448275862,4737786.71772969,2984267.37163121,124,4.09718461283518,259.350812121894
420_T4_TP_20250827,124,2025,0,0,0,0,0,0,1e-04,0,32,830.409590073745,385.352004390487,5,2020,2019,1,,,0.8,0,0,0.8,0.8,,,"",2025,1e-04,0,0.8,,13,Czech Republic,0,0,4737797.80329641,2984285.80036515,124,4.09718461283518,259.350812121894
421_T4_TP_20250827,125,2025,0.5,0,1.7,1,0,0,1,5000,71,1175.38865451415,604.055515827216,5,2020,2019,1,4.56,2.4,1,0,0,0.8,1,0,1,fasy,2025,1e-04,0,0.9,,13,Czech Republic,0,1,4729366.05709572,2986006.43176751,125,10.1128565699788,158.644310226514
422_T4_TP_20250827,125,2025,0.5,0,1.7,1,0,0,1,5000,71,1175.38865451415,604.055515827216,5,2020,2019,1,4.56,2.4,1,0,0,0.8,1,0,1,fasy,2025,1e-04,0,0.9,,13,Czech Republic,0,1,4729346.02182451,2986006.38236636,125,10.1128565699788,158.644310226514
423_T4_TP_20250827,125,2025,0.5,0,0.7,1,0,0,1,5000,71,1175.38865451415,604.055515827216,5,2020,2019,1,4.6,1.81,1,0,0,0.8,1,0,1,absp,2025,1e-04,0,0.9,,13,Czech Republic,1,0,4729366.05050052,2985986.39687368,125,10.1128565699788,158.644310226514
425_T4_TP_20250827,125,2025,0.5,1.01015254455221,1.75,2,0.693147180559945,1,2,5000,71,1175.38865451415,604.055515827216,5,2020,2019,1,3.41,2.33,1,0,0,0.8,1,0,0.678571428571429,potr,2025,1.01015254455221,1,0.9,,13,Czech Republic,0.321428571428571,0.678571428571429,4729385.99432922,2986005.42588035,125,10.1128565699788,158.644310226514
426_T4_TP_20250827,125,2025,1.25,0.296621262321401,1.96,2,0.500402423538188,0.721928094887362,1.64938488846612,12500,71,1175.38865451415,604.055515827216,5,2020,2019,1,4.036,2.232,1,0,0,0.8,1,0,0.746938775510204,fasy,2025,0.296621262321401,1,0.9,,13,Czech Republic,0,1,4729366.09993923,2986026.32321182,125,9.21821694118881,145.46124724221
427_T4_TP_20250827,126,2025,1.25,0.950130967100798,9.8,1,0.673011667009257,0,1.96013170420779,12500,28,1176.26146242034,238.042313673914,3,2022,2019,3,3.97,2.66,1,0,0.4,0.6,0.6,0,1,cabe,2025,0.950130967100798,1,0.6,,13,Czech Republic,0,1,4729146.36806157,2985966.48979869,126,18.1715465285533,155.777974849392
428_T4_TP_20250827,126,2025,1.25,0.421325044234743,1.3,2,0.673011667009257,0.970950594454669,1.96013170420779,12500,28,1176.26146242034,238.042313673914,3,2022,2019,3,4.062,2.61,1,0,0.4,0.6,0.6,0,0.692307692307692,acps,2025,0.421325044234743,1,0.6,,13,Czech Republic,0,1,4729125.99046668,2985946.33669285,126,18.1715465285533,155.777974849392
429_T4_TP_20250827,126,2025,1,0.192450089729875,0.6,2,0.693147180559945,1,2,10000,28,1176.26146242034,238.042313673914,3,2022,2019,3,4.58,2.105,1,0,0.4,0.6,0.6,0,0.541666666666667,absp,2025,0.192450089729875,1,0.6,,13,Czech Republic,0.541666666666667,0.458333333333333,4729106.03193687,2985966.38231348,126,18.0920590675337,150.110614691483
430_T4_TP_20250827,126,2025,0.25,0,0.3,1,0,0,1,2500,28,1176.26146242034,238.042313673914,3,2022,2019,3,4.6,1.81,1,0,0.4,0.6,0.6,0,1,absp,2025,1e-04,0,0.6,,13,Czech Republic,1,0,4729126.04216818,2985966.39811562,126,18.1715465285533,155.777974849392
431_T4_TP_20250827,126,2025,0.5,1.15708382375981,1.65,2,0.693147180559945,1,2,5000,28,1176.26146242034,238.042313673914,3,2022,2019,3,3.8,2.68,1,0,0.4,0.6,0.6,0,0.704545454545455,soar,2025,1.15708382375981,1,0.6,,13,Czech Republic,0.295454545454545,0.704545454545455,4729126.02869723,2985986.37157205,126,18.1715465285533,155.777974849392
432_T4_TP_20250827,127,2025,0.75,0.551107075135552,0.733333333333333,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,45,1166.83938769205,385.657190481099,3,2022,2019,3,3.45333333333333,1.93666666666667,1,0,0,1,0,0.5,0.560606060606061,piab,2025,0.551107075135552,1,0.5,,13,Czech Republic,1,0,4728685.9759154,2985886.39239798,127,10.2624239945072,221.284367290681
433_T4_TP_20250827,127,2025,0.5,0,1.2,1,0,0,1,5000,45,1166.83938769205,385.657190481099,3,2022,2019,3,3.73,2.75,1,0,0,1,0,0,1,acps,2025,1e-04,0,0.5,,13,Czech Republic,0,1,4728706.04991437,2985886.39925203,127,10.2624239945072,221.284367290681
