species_id,species,vegtype,hgt,n,dbh,dmg_bool,celkovy_pocet_poskoz,percentage_damage,dmg_jedinec,dmg_type,dmg_terminal,dmg_term_similar,tot_dmg_terminal,dmg_foliage,dmg_foliage_similar,tot_dmg_foliage,dmg_foliage_leaf_int,dmg_stem,dmg_stem_numeric,dmg_stem_cause,dmg_stem_horizont,dmg_stem_vertical,dmg_stem_grass,dmg_term_sample,dmg_stem_sample,dmg_foliage_sample,subplot,stump,clear,grndwrk,logging_trail,windthrow,standing_deadwood,planting,anti_browsing,comments,photo_sur_n,photo_sur_e,photo_sur_s,photo_sur_w,time,x,y,photo_e,photo_n,naruseni,plot,n_plots,hgt_est,dbh_est
33,LP,small,0.2–0.4,2,NA,1,1,50,1,kmen,NA,NA,0,NA,NA,0,NA,cerstve,1,mechanizace,NA,NA,NA,NA,Obě ožnuté,NA,647_T2_AH_20250827,NA,1,NA,NA,1,NA,1,0,NA,DCIM/context_n20250827135619370.jpg,DCIM/context_e20250827135613022.jpg,DCIM/context_s20250827135608193.jpg,DCIM/context_w20250827135603483.jpg,2025-08-27T13:55:55Z,16.84597334,49.2682271,DCIM/plot_e_20250827135340037.jpg,DCIM/plot_n_20250827135350945.jpg,TRUE,114,5,0.3,0.3
13,BK,small,0.2–0.4,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,648_T2_AH_20250827,1,1,NA,NA,1,NA,1,1,Nátěr,DCIM/context_n20250827152859492.jpg,DCIM/context_e20250827152854546.jpg,DCIM/context_s20250827152850540.jpg,DCIM/context_w20250827152845495.jpg,2025-08-27T15:28:18Z,16.17999041,49.35740483,DCIM/plot_e_20250827153203717.jpg,DCIM/plot_n_20250827153306351.jpg,TRUE,115,5,0.3,0.3
18,SM,small,0.8–1.0,2,NA,1,1,50,1,terminal,chybajuci,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,648_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250716090006539.jpg,DCIM/context_e20250716090001611.jpg,DCIM/context_s20250716085956360.jpg,DCIM/context_w20250716085945150.jpg,2025-07-16T08:58:58Z,15.4795916,49.04925128,DCIM/plot_e_20250716085602246.jpg,DCIM/plot_n_20250716085616444.jpg,TRUE,167,6,0.9,0.9
17,MD,small,0.6–0.8,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,649_T2_AH_20250827,1,1,NA,NA,1,NA,1,0,NA,DCIM/context_n20250827154117514.jpg,DCIM/context_e20250827154108574.jpg,DCIM/context_s20250827154104131.jpg,DCIM/context_w20250827154059301.jpg,2025-08-27T15:40:25Z,16.18024225,49.35721199,DCIM/plot_e_20250827153722681.jpg,DCIM/plot_n_20250827153711153.jpg,TRUE,115,5,0.7,0.7
13,BK,small,0.2–0.4,2,NA,1,1,50,1,kmen,NA,NA,0,NA,NA,0,NA,cerstve,1,mechanizace,NA,NA,NA,NA,NA,NA,649_T2_AH_20250827,1,1,NA,NA,1,NA,1,0,NA,DCIM/context_n20250827154117514.jpg,DCIM/context_e20250827154108574.jpg,DCIM/context_s20250827154104131.jpg,DCIM/context_w20250827154059301.jpg,2025-08-27T15:40:25Z,16.18024225,49.35721199,DCIM/plot_e_20250827153722681.jpg,DCIM/plot_n_20250827153711153.jpg,TRUE,115,5,0.3,0.3
10,BR,small,1.3–2.0,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,649_T2_AH_20250827,1,1,NA,NA,1,NA,1,0,NA,DCIM/context_n20250827154117514.jpg,DCIM/context_e20250827154108574.jpg,DCIM/context_s20250827154104131.jpg,DCIM/context_w20250827154059301.jpg,2025-08-27T15:40:25Z,16.18024225,49.35721199,DCIM/plot_e_20250827153722681.jpg,DCIM/plot_n_20250827153711153.jpg,TRUE,115,5,1.7,1.7
18,SM,small,0.2–0.4,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,650_T4_TP_20250827,NA,NA,NA,1,NA,NA,NA,1,Repelent,DCIM/context_n20250716094119442.jpg,DCIM/context_e20250716094111200.jpg,DCIM/context_s20250716094054102.jpg,DCIM/context_w20250716094031384.jpg,2025-07-16T09:39:43Z,15.49394338,49.04746545,DCIM/plot_e_20250716093855455.jpg,DCIM/plot_n_20250716093903850.jpg,TRUE,168,5,0.3,0.3
13,BK,small,0.2–0.4,2,NA,1,1,50,1,kmen,NA,NA,0,NA,NA,0,NA,cerstve,1,mechanizace,NA,NA,NA,NA,Ožnut,NA,651_T2_AH_20250827,1,1,NA,NA,1,NA,1,0,NA,DCIM/context_n20250827155511836.jpg,DCIM/context_e20250827155506941.jpg,DCIM/context_s20250827155502064.jpg,DCIM/context_w20250827155457802.jpg,2025-08-27T15:54:32Z,16.17994368,49.35704551,DCIM/plot_e_20250827155255391.jpg,DCIM/plot_n_20250827155302207.jpg,TRUE,115,5,0.3,0.3
18,SM,small,0.2–0.4,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,651_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250716095002516.jpg,DCIM/context_e20250716094957745.jpg,DCIM/context_s20250716094953008.jpg,DCIM/context_w20250716094947622.jpg,2025-07-16T09:49:13Z,15.49395851,49.04764536,DCIM/plot_e_20250716094535369.jpg,DCIM/plot_n_20250716094545588.jpg,TRUE,168,5,0.3,0.3
20,OS,small,0.2–0.4,1,NA,1,1,100,1,olistení,NA,NA,0,20-40,NA,1,0-20,NA,0,NA,NA,NA,NA,NA,NA,NA,651_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250716095002516.jpg,DCIM/context_e20250716094957745.jpg,DCIM/context_s20250716094953008.jpg,DCIM/context_w20250716094947622.jpg,2025-07-16T09:49:13Z,15.49395851,49.04764536,DCIM/plot_e_20250716094535369.jpg,DCIM/plot_n_20250716094545588.jpg,TRUE,168,5,0.3,0.3
